"","Full","Stem","Index","Min","Max","Total"
"74","well","well","76","0","43","1276"
"75","maintained","maintain","77","0","33","891"
"76","newer","newer","78","0","56","1841"
"77","windows","window","79","0","127","4442"
"78","spacious","spaciou","80","0","121","3468"
"79","floorplan","floorplan","81","0","10","212"
"80","bedroom","bedroom","82","2","250","7565"
"81","bath","bath","83","3","291","8660"
"82","2nd","2nd","84","0","45","1017"
"83","tiled","tile","85","0","61","2029"
"84","tub","tub","86","0","30","1038"
"85","shower","shower","87","0","21","466"
"86","surrounds","surround","88","0","21","629"
"87","fireplace","fireplac","89","0","137","4343"
"88","sun","sun","90","0","23","626"
"89","appliances","applianc","91","0","81","2355"
"90","range","rang","92","0","19","586"
"91","fridge","fridg","93","0","6","122"
"92","dishwasher","dishwash","94","0","5","122"
"93","plus","plu","95","0","48","1331"
"94","washer","washer","96","0","10","195"
"95","dryer","dryer","97","0","10","205"
"96","dining","dine","98","0","141","4770"
"97","formal","formal","99","0","59","1851"
"98","entry","entri","100","0","41","1131"
"99","hardwoods","hardwood","101","0","127","4484"
"100","freshly","freshli","102","0","17","381"
"101","painted","paint","103","0","55","1855"
"102","thruout","thruout","104","0","5","62"
"103","new","new","105","1","189","6852"
"104","light","light","106","1","144","4295"
"105","fixtures","fixtur","107","0","15","389"
"106","storage","storag","108","0","93","2698"
"107","more","more","109","0","44","1471"
"108","great","great","110","0","128","4093"
"109","updated","updat","111","0","156","5282"
"110","georgetown","georgetown","112","0","5","58"
"111","charmer","charmer","113","0","12","318"
"112","beautiful","beauti","114","0","70","2254"
"113","street","street","115","0","116","3615"
"114","club","club","116","0","10","184"
"115","original","origin","117","0","61","1571"
"116","character","charact","118","0","15","314"
"117","details","detail","119","0","41","1295"
"118","incl","incl","120","0","12","232"
"119","picture","pictur","121","0","17","553"
"120","rail","rail","122","0","37","806"
"121","molding","mold","123","0","18","503"
"122","knobs","knob","124","0","4","75"
"123","fir","fir","125","0","27","632"
"124","floors","floor","126","0","339","10564"
"125","romantic","romant","127","0","5","103"
"126","period","period","128","0","24","838"
"127","will","will","129","0","34","1057"
"128","make","make","130","0","29","955"
"129","fall","fall","131","0","9","129"
"130","love","love","132","0","57","1796"
"131","step","step","133","0","24","742"
"132","inside","insid","134","0","21","629"
"133","kind","kind","135","0","7","126"
"134","t","t","136","0","16","535"
"135","miss","miss","137","0","16","417"
"136","huge","huge","138","0","67","1916"
"137","fully","fulli","139","0","56","1824"
"138","fenced","fenc","140","0","82","2590"
"139","outdoor","outdoor","141","0","37","927"
"140","play","plai","142","0","17","560"
"141","triple","tripl","143","0","3","32"
"142","paned","pane","144","0","26","655"
"143","electric","electr","145","0","35","1126"
"144","plumbing","plumb","146","0","45","1400"
"145","bonus","bonu","147","0","38","1018"
"146","features","featur","148","0","122","3268"
"147","wine","wine","149","0","11","307"
"148","cellar","cellar","150","0","8","168"
"149","detached","detach","151","0","43","1288"
"150","office","offic","152","0","52","1802"
"151","music","music","153","0","3","34"
"152","art","art","154","0","11","287"
"153","studio","studio","155","0","19","503"
"154","or","or","156","0","110","3043"
"155","mil","mil","157","0","27","378"
"156","remodeled","remodel","158","0","86","3083"
"157","lot","lot","160","0","132","3767"
"158","natural","natur","161","0","37","1123"
"159","sw","sw","162","0","6","100"
"160","located","locat","163","0","134","4078"
"161","n","n","164","0","5","87"
"162","beacon","beacon","165","0","24","309"
"163","hill","hill","166","0","45","1023"
"164","it","it","167","0","73","2336"
"165","s","","168","0","116","3116"
"166","easy","easi","169","0","65","1612"
"167","access","access","170","0","85","2683"
"168","bus","bu","171","0","37","781"
"169","shops","shop","172","0","84","2918"
"170","grocery","groceri","173","0","8","162"
"171","parks","park","174","0","209","5172"
"172","hospital","hospit","175","0","7","115"
"173","etc","etc","176","0","7","196"
"174","backyard","backyard","177","0","83","2315"
"175","basement","basement","178","0","84","2685"
"176","rents","rent","179","0","11","120"
"177","up","up","180","0","59","1538"
"178","rental","rental","181","0","12","158"
"179","sites","site","182","0","14","427"
"180","inc","inc","184","0","3","56"
"181","roof","roof","185","0","59","1993"
"182","dbl","dbl","186","0","9","109"
"183","crown","crown","187","0","12","380"
"184","doors","door","188","0","67","2310"
"185","fix","fix","189","0","2","23"
"186","elec","elec","190","0","4","60"
"187","line","line","191","0","43","1212"
"188","refinished","refinish","192","0","31","743"
"189","hrdwds","hrdwd","193","0","6","134"
"190","french","french","194","0","41","1259"
"191","drain","drain","195","0","3","32"
"192","landscaping","landscap","196","0","55","1638"
"193","near","near","197","0","24","643"
"194","cap","cap","199","0","5","35"
"195","quite","quit","200","0","2","35"
"196","neighborhood","neighborhood","201","0","71","1904"
"197","tucked","tuck","202","0","10","174"
"198","off","off","203","0","85","2771"
"199","oak","oak","204","0","34","909"
"200","carpet","carpet","205","0","32","1011"
"201","area","area","206","0","96","3141"
"202","gas","ga","207","0","92","2830"
"203","serene","seren","208","0","14","272"
"204","back","back","209","0","83","2474"
"205","garden","garden","210","0","95","2818"
"206","views","view","211","1","212","5654"
"207","city","citi","212","0","49","1496"
"208","mt","mt","213","0","19","615"
"209","rainier","rainier","214","0","27","513"
"210","fr","fr","215","0","4","48"
"211","separate","separ","216","0","36","887"
"212","daylight","daylight","217","0","24","617"
"213","income","incom","219","0","7","114"
"214","potential","potenti","220","0","48","1021"
"215","car","car","221","0","112","3070"
"216","garage","garag","222","0","149","4722"
"217","story","stori","224","0","20","608"
"218","house","hous","225","0","36","1323"
"219","main","main","227","0","144","4204"
"220","level","level","228","0","224","5816"
"221","front","front","229","0","46","1466"
"222","eating","eat","230","0","45","1572"
"223","slider","slider","231","0","11","209"
"224","covered","cover","232","0","42","1028"
"225","providing","provid","233","0","17","566"
"226","boeing","boe","234","0","4","31"
"227","field","field","235","0","6","84"
"228","upper","upper","236","0","35","891"
"229","non","non","237","0","9","224"
"230","conforming","conform","238","0","8","194"
"231","two","two","239","0","73","2149"
"232","unfinished","unfinish","240","0","25","585"
"233","half","half","241","0","13","274"
"234","fruit","fruit","242","0","12","366"
"235","trees","tree","243","0","35","1027"
"236","carport","carport","244","0","15","321"
"237","value","valu","245","0","9","203"
"238","land","land","246","0","6","113"
"239","freeways","freewai","247","0","17","377"
"240","exceptional","except","248","0","12","228"
"241","last","last","249","0","7","173"
"242","end","end","250","0","25","740"
"243","setting","set","251","0","35","845"
"244","popular","popular","252","0","10","187"
"245","minutes","minut","253","0","40","955"
"246","link","link","254","0","3","59"
"247","things","thing","255","0","3","52"
"248","seattle","seattl","256","0","98","2082"
"249","blend","blend","257","0","10","255"
"250","quality","qualiti","258","0","22","508"
"251","design","design","259","0","56","1473"
"252","ft","ft","260","0","36","749"
"253","ceilings","ceil","261","0","102","3485"
"254","maple","mapl","262","0","14","520"
"255","granite","granit","263","0","61","1770"
"256","finishes","finish","264","0","78","2536"
"257","built","built","265","0","68","2493"
"258","luxurious","luxuri","266","0","18","365"
"259","owner","owner","267","0","21","568"
"260","vaulted","vault","268","0","29","844"
"261","second","second","269","0","19","512"
"262","frplc","frplc","270","0","9","201"
"263","five","five","271","0","4","81"
"264","piece","piec","272","0","12","307"
"265","extends","extend","273","0","5","106"
"266","patio","patio","274","0","81","2548"
"267","low","low","275","0","14","309"
"268","maintenance","mainten","276","0","9","241"
"269","hardi","hardi","277","0","3","39"
"270","board","board","278","0","2","32"
"271","major","major","279","0","8","155"
"272","commutes","commut","280","0","30","538"
"273","classic","classic","281","0","50","1488"
"274","brick","brick","282","0","32","875"
"275","unobstructed","unobstruct","283","0","5","71"
"276","lake","lake","284","1","85","2082"
"277","washington","washington","285","0","29","557"
"278","island","island","286","0","19","477"
"279","charm","charm","287","0","80","2793"
"280","abundant","abund","289","0","12","398"
"281","hard","hard","290","0","6","112"
"282","wood","wood","291","0","80","1935"
"283","month","month","292","0","5","58"
"284","law","law","293","0","10","151"
"285","apartment","apart","294","0","6","113"
"286","needs","need","295","0","19","397"
"287","some","some","296","0","16","306"
"288","tlc","tlc","297","0","7","83"
"289","cozy","cozi","298","0","30","715"
"290","laundry","laundri","299","0","47","1437"
"291","school","school","300","0","42","1119"
"292","must","must","301","0","27","468"
"293","see","see","302","0","34","775"
"294","filled","fill","303","0","43","1267"
"295","panoramic","panoram","304","0","9","152"
"296","mountains","mountain","305","0","36","956"
"297","throughout","throughout","306","0","67","1783"
"298","counter","counter","307","0","58","1967"
"299","tops","top","308","0","44","1312"
"300","ss","ss","309","0","20","548"
"301","hurry","hurri","310","0","5","101"
"302","go","go","311","0","10","163"
"303","fast","fast","312","0","2","40"
"304","leschi","leschi","313","0","8","90"
"305","craftsman","craftsman","314","0","57","1916"
"306","today","todai","316","0","12","297"
"307","flowing","flow","317","0","27","618"
"308","plan","plan","318","0","70","1968"
"309","offers","offer","319","0","72","2188"
"310","gorgeous","gorgeou","320","0","42","1059"
"311","box","box","321","0","15","269"
"312","beams","beam","322","0","17","352"
"313","inlaid","inlaid","323","0","5","71"
"314","leaded","lead","324","0","52","1349"
"315","gourmet","gourmet","325","0","23","508"
"316","kit","kit","326","0","19","350"
"317","drs","dr","327","0","10","231"
"318","entertaining","entertain","328","0","108","3036"
"319","3rd","3rd","329","0","24","589"
"320","fl","fl","330","0","3","56"
"321","mstr","mstr","331","0","6","149"
"322","lower","lower","332","0","100","2827"
"323","media","media","333","0","26","755"
"324","work","work","334","0","19","692"
"325","out","out","335","0","53","1719"
"326","secret","secret","336","0","3","62"
"327","very","veri","337","0","26","756"
"328","mtn","mtn","338","0","9","215"
"329","vistas","vista","339","0","5","99"
"330","bungalow","bungalow","340","0","24","770"
"331","heart","heart","341","0","29","835"
"332","turn","turn","342","0","12","313"
"333","key","kei","343","0","6","177"
"334","stainless","stainless","344","0","47","1485"
"335","clawfoot","clawfoot","345","0","4","57"
"336","recently","recent","346","0","14","477"
"337","rec","rec","347","0","43","1246"
"338","stone","stone","348","0","15","436"
"339","block","block","349","0","54","1451"
"340","pergola","pergola","350","0","2","32"
"341","exterior","exterior","351","0","22","569"
"342","system","system","352","0","27","1080"
"343","centrally","central","353","0","15","317"
"344","by","by","354","0","52","1514"
"345","downtown","downtown","355","0","54","1456"
"346","ravenna","ravenna","356","0","9","214"
"347","sf","sf","357","0","11","228"
"348","bathroom","bathroom","358","0","48","1625"
"349","better","better","359","0","4","82"
"350","nice","nice","360","0","29","942"
"351","amazing","amaz","361","0","30","609"
"352","style","style","362","0","26","893"
"353","bed","bed","363","0","53","1492"
"354","stairs","stair","364","0","6","138"
"355","down","down","365","0","18","493"
"356","move","move","366","0","32","995"
"357","ready","readi","367","0","45","1242"
"358","also","also","368","0","16","545"
"359","plenty","plenti","369","0","31","849"
"360","that","that","370","0","61","1995"
"361","pets","pet","371","0","6","91"
"362","wonderful","wonder","372","0","26","997"
"363","three","three","373","0","29","761"
"364","fresco","fresco","374","0","4","53"
"365","fabulous","fabul","375","0","17","612"
"366","restaurants","restaur","376","0","50","1350"
"367","village","villag","377","0","22","569"
"368","u","u","378","0","9","269"
"369","university","univers","380","0","7","142"
"370","children","children","381","0","7","129"
"371","much","much","382","0","18","467"
"372","short","short","383","0","19","469"
"373","walk","walk","384","1","116","3351"
"374","alaska","alaska","385","0","7","115"
"375","st","st","386","0","7","170"
"376","junction","junction","387","0","15","366"
"377","studs","stud","388","0","8","141"
"378","slab","slab","389","0","18","484"
"379","glass","glass","390","0","34","1041"
"380","creative","creativ","391","0","6","110"
"381","sellers","seller","392","0","8","134"
"382","renovated","renov","393","0","19","544"
"383","adding","ad","394","0","7","187"
"384","creating","creat","395","0","16","408"
"385","modern","modern","396","0","62","1508"
"386","flex","flex","397","0","12","138"
"387","guest","guest","398","0","30","838"
"388","quarters","quarter","399","0","8","213"
"389","upgrades","upgrad","400","0","22","587"
"390","plank","plank","401","0","6","107"
"391","double","doubl","402","0","36","1033"
"392","hung","hung","403","0","2","26"
"393","vinyl","vinyl","404","0","12","347"
"394","copper","copper","405","0","11","266"
"395","interior","interior","406","0","28","835"
"396","beautifully","beautifulli","407","0","32","894"
"397","prime","prime","408","0","12","219"
"398","genesee","genese","409","0","5","98"
"399","just","just","410","0","68","2050"
"400","immaculate","immacul","411","0","8","237"
"401","rambler","rambler","412","0","18","545"
"402","peek","peek","413","0","8","177"
"403","sound","sound","414","0","50","1251"
"404","corner","corner","415","0","38","1055"
"405","burning","burn","416","0","34","688"
"406","extra","extra","417","0","27","814"
"407","gutters","gutter","418","0","8","136"
"408","r","r","419","0","4","42"
"409","boat","boat","420","0","10","194"
"410","sport","sport","421","0","5","99"
"411","court","court","422","0","8","134"
"412","schmitz","schmitz","423","0","4","64"
"413","elementary","elementari","424","0","15","227"
"414","did","did","425","0","3","25"
"415","too","too","426","0","16","285"
"416","during","dure","427","0","4","39"
"417","holiday","holidai","428","0","3","35"
"418","come","come","429","0","25","547"
"419","south","south","430","0","17","406"
"420","check","check","431","0","7","83"
"421","trim","trim","432","0","10","269"
"422","as","a","433","0","55","1648"
"423","fresh","fresh","434","0","23","582"
"424","was","wa","435","0","18","523"
"425","when","when","436","0","7","126"
"426","giant","giant","438","0","4","60"
"427","additional","addit","439","0","33","1112"
"428","4th","4th","440","0","17","486"
"429","stove","stove","441","0","18","381"
"430","ever","ever","442","0","5","101"
"431","so","so","443","0","19","408"
"432","used","us","444","0","21","525"
"433","single","singl","445","0","8","182"
"434","close","close","446","0","78","1990"
"435","farm","farm","447","0","4","76"
"436","builder","builder","448","0","7","141"
"437","dream","dream","449","0","19","445"
"438","legal","legal","450","0","5","65"
"439","tax","tax","451","0","3","47"
"440","parcels","parcel","452","0","7","41"
"441","each","each","453","0","14","235"
"442","square","squar","454","0","12","298"
"443","feet","feet","455","0","9","157"
"444","ground","ground","456","0","11","343"
"445","territorial","territori","457","0","18","493"
"446","sunsets","sunset","458","0","22","494"
"447","lincoln","lincoln","459","0","9","229"
"448","southern","southern","460","0","5","125"
"449","tear","tear","461","0","3","36"
"450","rehab","rehab","462","0","4","37"
"451","no","no","463","0","17","367"
"452","don","don","464","0","13","362"
"453","sale","sale","465","0","11","166"
"454","welcome","welcom","466","0","41","1046"
"455","urban","urban","467","0","18","387"
"456","retreat","retreat","468","0","12","327"
"457","adorable","ador","469","0","12","246"
"458","totally","total","470","0","10","228"
"459","ans","an","472","0","103","3091"
"460","stylish","stylish","473","0","12","282"
"461","quartz","quartz","474","0","25","401"
"462","dark","dark","475","0","4","69"
"463","newly","newli","476","0","21","571"
"464","west","west","477","0","45","958"
"465","facing","face","478","0","26","646"
"466","endless","endless","479","0","9","139"
"467","opportunities","opportun","480","0","33","765"
"468","recreation","recreat","481","0","6","164"
"469","clean","clean","482","0","10","285"
"470","please","pleas","483","0","9","186"
"471","call","call","484","0","11","232"
"472","helpful","help","485","0","6","90"
"473","agent","agent","486","0","13","152"
"474","showing","show","487","0","7","164"
"475","nestled","nestl","488","0","15","302"
"476","at","at","489","0","34","918"
"477","road","road","490","0","7","42"
"478","like","like","491","0","30","791"
"479","gives","give","492","0","6","158"
"480","mid","mid","493","0","36","1116"
"481","century","centuri","494","0","40","1263"
"482","complete","complet","495","0","47","1251"
"483","privacy","privaci","496","0","26","663"
"484","slate","slate","497","0","10","260"
"485","circular","circular","498","0","12","317"
"486","sized","size","499","0","42","1271"
"487","own","own","500","0","27","695"
"488","nw","nw","501","0","13","260"
"489","contemporary","contemporari","502","0","25","577"
"490","blks","blk","503","0","6","103"
"491","hdwds","hdwd","504","0","11","246"
"492","flr","flr","505","0","26","860"
"493","liv","liv","506","0","14","202"
"494","din","din","507","0","9","195"
"495","rm","rm","508","0","87","2235"
"496","wet","wet","509","0","8","207"
"497","bar","bar","510","0","25","718"
"498","fpl","fpl","511","0","4","41"
"499","lg","lg","512","0","13","302"
"500","bth","bth","513","0","20","519"
"501","closet","closet","514","0","68","1709"
"502","utility","util","515","0","21","672"
"503","magnificent","magnific","516","0","7","91"
"504","take","take","517","0","12","357"
"505","breath","breath","518","0","2","28"
"506","away","awai","519","0","22","549"
"507","elevator","elev","520","0","5","73"
"508","dont","dont","521","0","3","71"
"509","purchase","purchas","522","0","4","54"
"510","secluded","seclud","523","0","8","185"
"511","ferry","ferri","524","0","7","117"
"512","pool","pool","525","0","8","254"
"513","hot","hot","526","0","25","710"
"514","exudes","exud","527","0","5","60"
"515","arrive","arriv","528","0","3","30"
"516","heat","heat","529","0","43","1279"
"517","pump","pump","530","0","9","141"
"518","if","if","531","0","7","201"
"519","wanting","want","532","0","9","240"
"520","experience","experi","533","0","9","76"
"521","cedar","cedar","534","0","11","261"
"522","over","over","535","0","31","688"
"523","are","ar","537","0","53","1566"
"524","have","have","538","0","24","720"
"525","north","north","539","0","18","400"
"526","degrees","degre","542","0","3","52"
"527","puget","puget","543","0","21","395"
"528","olympic","olymp","544","0","25","649"
"529","ll","ll","545","0","18","438"
"530","after","after","546","0","23","418"
"531","long","long","547","0","8","219"
"532","day","dai","548","0","13","387"
"533","gatewood","gatewood","549","0","5","71"
"534","best","best","550","0","16","464"
"535","advantage","advantag","552","0","5","91"
"536","tons","ton","553","0","31","740"
"537","estate","estat","554","0","7","173"
"538","investors","investor","555","0","5","77"
"539","first","first","556","0","13","381"
"540","time","time","557","0","16","482"
"541","buyers","buyer","558","0","13","307"
"542","get","get","559","0","10","186"
"543","already","alreadi","560","0","5","51"
"544","but","but","561","0","17","441"
"545","would","would","562","0","5","127"
"546","not","not","563","0","25","358"
"547","fixer","fixer","564","0","8","125"
"548","could","could","565","0","22","413"
"549","sold","sold","566","0","7","175"
"550","priced","price","567","0","10","279"
"551","shared","share","568","0","6","129"
"552","driveway","drivewai","569","0","14","269"
"553","spot","spot","570","0","7","172"
"554","currently","current","571","0","7","207"
"555","arbor","arbor","572","0","11","194"
"556","heights","height","573","0","20","606"
"557","sq","sq","575","0","28","669"
"558","what","what","576","0","8","195"
"559","ve","ve","577","0","6","155"
"560","been","been","578","0","33","1098"
"561","bbq","bbq","579","0","20","424"
"562","excellent","excel","580","0","20","489"
"563","secure","secur","581","0","6","160"
"564","gleaming","gleam","582","0","26","607"
"565","reclaimed","reclaim","583","0","3","34"
"566","upstairs","upstair","584","0","41","1359"
"567","stand","stand","585","0","4","99"
"568","alone","alon","586","0","3","38"
"569","nook","nook","587","0","24","734"
"570","cheerful","cheer","588","0","3","62"
"571","massive","massiv","589","0","6","105"
"572","versatile","versatil","590","0","5","92"
"573","flat","flat","591","0","9","191"
"574","green","green","592","0","32","892"
"575","summer","summer","593","0","28","464"
"576","darling","darl","594","0","7","143"
"577","furnace","furnac","595","0","35","1144"
"578","water","water","596","0","31","977"
"579","heater","heater","597","0","15","453"
"580","solar","solar","598","0","6","55"
"581","tv","tv","599","0","4","81"
"582","craft","craft","600","0","8","174"
"583","there","there","601","0","21","682"
"584","good","good","602","0","23","624"
"585","vanity","vaniti","603","0","8","131"
"586","adjacent","adjac","604","0","14","293"
"587","galley","gallei","605","0","4","35"
"588","breakfast","breakfast","606","0","17","475"
"589","table","tabl","607","0","6","101"
"590","steel","steel","608","0","23","683"
"591","service","servic","609","0","8","157"
"592","screened","screen","610","0","4","56"
"593","plantings","plant","611","0","16","340"
"594","converted","convert","612","0","7","138"
"595","third","third","613","0","7","166"
"596","easily","easili","614","0","9","149"
"597","spa","spa","615","0","17","267"
"598","era","era","616","0","6","136"
"599","reflect","reflect","617","0","3","46"
"600","standards","standard","618","0","2","47"
"601","craftsmanship","craftsmanship","619","0","8","116"
"602","allow","allow","620","0","9","231"
"603","year","year","621","0","35","804"
"604","everything","everyth","622","0","17","464"
"605","done","done","623","0","7","139"
"606","here","here","624","0","13","360"
"607","sweet","sweet","625","0","20","443"
"608","exposed","expos","626","0","4","117"
"609","colors","color","627","0","13","365"
"610","cooking","cook","628","0","18","495"
"611","alley","allei","629","0","35","1134"
"612","shrubs","shrub","630","0","2","29"
"613","flowers","flower","631","0","6","128"
"614","friendly","friendli","632","0","8","171"
"615","brand","brand","633","0","17","409"
"616","beyond","beyond","634","0","5","101"
"617","fauntleroy","fauntleroi","635","0","5","92"
"618","loads","load","636","0","11","335"
"619","cable","cabl","637","0","2","31"
"620","occupy","occupi","638","0","5","25"
"621","condition","condit","639","0","11","416"
"622","2baths","2bath","640","0","3","25"
"623","jetted","jet","641","0","8","233"
"624","fp","fp","642","0","9","290"
"625","comfortable","comfort","643","0","23","442"
"626","terrific","terrif","644","0","7","149"
"627","den","den","645","0","34","885"
"628","attached","attach","646","0","44","1077"
"629","compliment","compliment","647","0","3","60"
"630","contact","contact","648","0","6","55"
"631","fantastic","fantast","650","0","22","567"
"632","3bds","3bd","651","0","4","38"
"633","concept","concept","652","0","17","320"
"634","countertops","countertop","653","0","16","457"
"635","espresso","espresso","654","0","4","57"
"636","cabinets","cabinet","655","0","40","1367"
"637","soft","soft","656","0","3","66"
"638","trex","trex","657","0","4","85"
"639","got","got","658","0","3","25"
"640","hobby","hobbi","659","0","6","129"
"641","shed","shed","660","0","18","439"
"642","centers","center","661","0","14","372"
"643","ba","ba","662","0","11","244"
"644","season","season","663","0","4","66"
"645","dramatic","dramat","664","0","7","159"
"646","airy","airi","665","0","7","149"
"647","cabinetry","cabinetri","666","0","11","375"
"648","overlooking","overlook","667","0","29","764"
"649","3br","3br","668","0","6","68"
"650","1ba","1ba","669","0","5","49"
"651","sqft","sqft","670","0","10","187"
"652","gar","gar","671","0","10","227"
"653","gated","gate","672","0","8","172"
"654","drive","drive","673","0","10","180"
"655","marvel","marvel","674","0","3","44"
"656","miles","mile","675","0","7","113"
"657","within","within","676","0","13","310"
"658","bustling","bustl","677","0","4","52"
"659","alki","alki","678","0","9","248"
"660","beach","beach","679","0","44","933"
"661","striking","strike","680","0","4","63"
"662","abound","abound","681","0","9","175"
"663","midcentury","midcenturi","682","0","3","28"
"664","warm","warm","683","0","12","429"
"665","bamboo","bamboo","684","0","10","244"
"666","stained","stain","685","0","6","128"
"667","spanning","span","686","0","8","46"
"668","length","length","687","0","3","37"
"669","sweeping","sweep","688","0","15","290"
"670","elliott","elliott","689","0","4","62"
"671","bay","bai","690","0","13","368"
"672","only","onli","691","0","14","294"
"673","cute","cute","692","0","11","297"
"674","personality","person","693","0","8","202"
"675","even","even","694","0","12","348"
"676","future","futur","695","0","14","258"
"677","add","add","696","0","20","415"
"678","package","packag","697","0","6","114"
"679","distance","distanc","698","0","18","450"
"680","br","br","699","0","36","843"
"681","wonderfully","wonderfulli","700","0","6","90"
"682","lr","lr","701","0","8","213"
"683","coved","cove","702","0","19","621"
"684","sewer","sewer","703","0","12","266"
"685","c","c","704","0","16","221"
"686","convenience","conveni","705","0","30","1006"
"687","townhouse","townhous","706","0","3","32"
"688","without","without","707","0","3","33"
"689","walls","wall","708","0","25","779"
"690","powder","powder","709","0","5","104"
"691","both","both","710","0","17","512"
"692","next","next","711","0","9","180"
"693","perfectly","perfectli","712","0","8","217"
"694","situated","situat","713","0","18","487"
"695","other","other","714","0","10","292"
"696","balcony","balconi","715","0","9","216"
"697","vac","vac","716","0","2","27"
"698","lawn","lawn","717","0","11","178"
"699","into","into","718","0","30","717"
"700","lovingly","lovingli","719","0","17","309"
"701","staying","stai","720","0","11","149"
"702","admiral","admir","721","0","10","239"
"703","way","wai","722","0","9","193"
"704","while","while","723","0","13","353"
"705","soak","soak","724","0","9","235"
"706","many","mani","725","0","29","776"
"707","thumb","thumb","726","0","2","25"
"708","rose","rose","727","0","4","47"
"709","bushes","bush","728","0","3","27"
"710","partial","partial","729","0","18","475"
"711","expansive","expans","730","0","32","734"
"712","tranquil","tranquil","731","0","13","232"
"713","sanctuary","sanctuari","732","0","9","103"
"714","host","host","733","0","8","97"
"715","party","parti","734","0","13","224"
"716","between","between","735","0","9","172"
"717","stores","store","736","0","8","147"
"718","downstairs","downstair","737","0","25","716"
"719","options","option","738","0","12","177"
"720","dual","dual","739","0","8","186"
"721","controls","control","740","0","5","53"
"722","smart","smart","741","0","5","107"
"723","ultra","ultra","742","0","3","29"
"724","entrance","entranc","743","0","22","426"
"725","expands","expand","744","0","9","209"
"726","sought","sought","745","0","19","360"
"727","touches","touch","746","0","13","384"
"728","wiring","wire","747","0","20","482"
"729","insulation","insul","748","0","13","273"
"730","hydronic","hydron","749","0","2","31"
"731","boiler","boiler","750","0","3","30"
"732","rv","rv","751","0","8","230"
"733","dead","dead","752","0","11","284"
"734","combination","combin","754","0","10","219"
"735","those","those","755","0","6","118"
"736","who","who","756","0","3","71"
"737","coupled","coupl","757","0","4","68"
"738","sensibilities","sensibl","758","0","3","34"
"739","arched","arch","759","0","9","198"
"740","doorways","doorwai","760","0","5","100"
"741","high","high","761","0","60","1818"
"742","elegantly","elegantli","762","0","3","41"
"743","cherry","cherri","763","0","13","394"
"744","almost","almost","764","0","5","121"
"745","everywhere","everywher","765","0","6","64"
"746","wireless","wireless","766","0","3","27"
"747","architecturally","architectur","767","0","14","308"
"748","stunning","stun","768","0","31","814"
"749","cool","cool","769","0","14","245"
"750","enclosed","enclos","770","0","7","139"
"751","porch","porch","771","0","38","1020"
"752","rare","rare","772","0","26","596"
"753","en","en","773","0","12","184"
"754","custom","custom","774","0","44","1404"
